,Song,Artist,songID
0,Like a Rolling Stone,Bob Dylan,"['Like a Rolling Stone', ['Bob Dylan'], '3AhXZa8sUQht0UEdBJgpGc']"
1,Smells Like Teen Spirit,Nirvana,"['Smells Like Teen Spirit', ['Nirvana'], '5ghIJDpPoe3CfHMGu71E6T']"
2,A Day In The Life - Remastered,The Beatles,"['A Day In The Life - Remastered 2009', ['The Beatles'], '0hKRSZhUGEhKU6aNSPBACZ']"
3,Good Vibrations (Mono),The Beach Boys,"['Good Vibrations (Mono)', ['The Beach Boys'], '5Qt4Cc66g24QWwGP3YYV9y']"
4,(I Can't Get No) Satisfaction - Mono Version / Remastered 2002,The Rolling Stones,
5,Johnny B Goode,Chuck Berry,"['Johnny B. Goode', ['Chuck Berry'], '2QfiRTz5Yc8DdShCxG1tB2']"
6,Be My Baby,The Ronettes,"['Be My Baby', ['The Ronettes'], '2G2YzndIA6jeWFPBXhUjh5']"
7,I Heard It Through The Grapevine,Marvin Gaye,"['I Heard It Through The Grapevine', ['Marvin Gaye'], '1tqT6DhmsrtQgyCKUwotiw']"
8,What's Going On,Marvin Gaye,"[""What's Going On"", ['Marvin Gaye'], '4RNHbYuRaZesMODlihhsUG']"
9,My Generation - Original Mono Version,The Who,"['My Generation - Original Mono Version', ['The Who'], '0r4lZHjmn7wHeipvGDiG3H']"
10,Respect,Aretha Franklin,"['Respect', ['Aretha Franklin'], '7s25THrKz86DM225dOYwnr']"
11,Love Will Tear Us Apart,Joy Division,"['Love Will Tear Us Apart - 2020 Remaster', ['Joy Division'], '34iOH7LY3vme5rQxsVILZ4']"
12,Born to Run,Bruce Springsteen,"['Born to Run', ['Bruce Springsteen'], '6hTcuIQa0sxrrByu9wTD7s']"
13,Sympathy For The Devil,The Rolling Stones,"['Sympathy For The Devil - 50th Anniversary Edition', ['The Rolling Stones'], '1Ud6moTC0KyXMq1Oxfien0']"
14,Anarchy In The UK - Remastered 2012,Sex Pistols,
15,Strawberry Fields Forever - Remastered,The Beatles,"['Strawberry Fields Forever - Remastered 2009', ['The Beatles'], '3Am0IbOxmvlSXro7N5iSfZ']"
16,Heartbreak Hotel,Elvis Presley,"['Heartbreak Hotel', ['Abigail Barlow'], '1YrgbwVse66pH7ysXLlgO8']"
17,Billie Jean,Michael Jackson,"['Billie Jean', ['Michael Jackson'], '5ChkMS8OtdzJeqyybCc9R5']"
18,London Calling,The Clash,"['London Calling - Remastered', ['The Clash'], '5jzma6gCzYtKB1DbEwFZKH']"
19,God Only Knows - Remastered,The Beach Boys,"['God Only Knows - Remastered', ['The Beach Boys'], '6iGU74CwXuT4XVepjc9Emf']"
20,Stairway To Heaven,Led Zeppelin,"['Stairway to Heaven - Remaster', ['Led Zeppelin'], '5CQ30WqJwcep0pYcV4AMNc']"
21,(Sittin' On) the Dock of the Bay,Otis Redding,"[""(Sittin' On) the Dock of the Bay"", ['Otis Redding'], '3zBhihYUHBmGd2bcQIobrF']"
22,Imagine - Remastered 2010,John Lennon,"['Imagine - Remastered 2010', ['John Lennon'], '7pKfPomDEeI4TPT6EOYjn9']"
23,The Message (feat. Melle Mel & Duke Bootee),Sex Pistols,"['The Message (feat. Melle Mel & Duke Bootee)', ['Grandmaster Flash & The Furious Five', 'Grandmaster Melle Mel', 'Duke Bootee'], '5DuTNKFEjJIySAyJH1yNDU']"
24,God Save The Queen,David Bowie,"['God Save the Queen', ['Sex Pistols'], '6ui6l3ZNvlrGQZArwo8195']"
25,Heroes - 1999 Remaster,OutKast,"['Heroes - 1998 Remaster', ['David Bowie'], '6Bh83dOo88nf6Ez5qHDsZe']"
26,Hey Ya! - Radio Mix / Club Mix,The Kinks,
27,You Really Got Me,Prince,"['You Really Got Me - 2015 Remaster', ['Van Halen'], '0upLyFR8Rr52ZpMp5esQoq']"
28,When Doves Cry,Little Richard,"['When Doves Cry', ['Prince'], '51H2y6YrNNXcy3dfc3qSbA']"
29,Tutti Frutti,M.I.A.,"['Tutti Frutti', ['Little Richard'], '2iXcvnD3d1gfLBum0cE5Eg']"
30,Paper Planes,Jimi Hendrix,"['Paper Planes', ['M.I.A.'], '1wgqttlPacpvmX5DKVboOa']"
31,Purple Haze,The Rolling Stones,"['Purple Haze', ['Jimi Hendrix'], '0wJoRiX5K5BxlqZTolB2LD']"
32,Gimme Shelter,Stevie Wonder,"['Gimme Shelter', ['The Rolling Stones'], '6H3kDe7CGoWYBabAeVWGiD']"
33,Superstition,Ray Charles & Friends,"['Superstition - Single Version', ['Stevie Wonder'], '1h2xVEoJORqrg71HocgqXd']"
34,What'd I Say,The White Stripes,"[""What'd I Say, Pt. 1 & 2"", ['Ray Charles'], '5yQ9iMZXGcr5rlO4hoLsP4']"
35,Seven Nation Army,Pulp,"['Seven Nation Army', ['The White Stripes'], '7i6r9KotUPQg3ozKKgEPIN']"
36,Common People,New Order,"['Common People', ['Pulp'], '2fXKyAyPrEa24c6PJyqznF']"
37,Blue Monday,Queen,"['Blue Monday', ['New Order'], '6hHc7Pks7wtBIW8Z6A0iFq']"
38,Bohemian Rhapsody - Remastered 2011,Sam Cooke,"['Bohemian Rhapsody - 2011 Mix', ['Queen'], '7tFiyTwD0nx5a1eklYtX2J']"
39,A Change Is Gonna Come,The Kingsmen,"['A Change Is Gonna Come', ['Sam Cooke'], '0KOE1hat4SIer491XKk4Pa']"
40,Louie Louie,The Beatles,"['Louie Louie', ['The Kingsmen'], '0iA3xXSkSCiJywKyo1UKjQ']"
41,Hey Jude - Remastered,R.E.M.,"['Hey Jude - Remastered 2015', ['The Beatles'], '0aym2LBJBk9DAYuHHutrIl']"
42,Losing My Religion,The Kinks,"['Losing My Religion', ['R.E.M.'], '31AOj9sFz2gM0O3hMARRBx']"
43,Waterloo Sunset - Stereo,The Doors,"['Waterloo Sunset - Stereo Mix', ['The Kinks'], '0wNrbOXDIevja1t7JrCozX']"
44,Light My Fire,Beyoncé,"['Light My Fire', ['The Doors'], '5uvosCdMlFdTXhoazkTI5R']"
45,Crazy In Love (feat. Jay-Z),The Jackson 5,"['Crazy In Love (feat. Jay-Z)', ['Beyoncé', 'JAY-Z'], '5IVuqXILoxVWvWEPm82Jxr']"
46,I Want You Back,Led Zeppelin,"['I Want You Back', ['The Jackson 5'], '5LxvwujISqiB8vpRYv887S']"
