song,artist,id
Like a Rolling Stone,['Bob Dylan'],3AhXZa8sUQht0UEdBJgpGc
Smells Like Teen Spirit,['Nirvana'],5ghIJDpPoe3CfHMGu71E6T
A Day In The Life - Remastered 2009,['The Beatles'],0hKRSZhUGEhKU6aNSPBACZ
Good Vibrations (Mono),['The Beach Boys'],5Qt4Cc66g24QWwGP3YYV9y
Johnny B. Goode,['Chuck Berry'],2QfiRTz5Yc8DdShCxG1tB2
Be My Baby,['The Ronettes'],2G2YzndIA6jeWFPBXhUjh5
I Heard It Through The Grapevine,['Marvin Gaye'],1tqT6DhmsrtQgyCKUwotiw
What's Going On,['Marvin Gaye'],4RNHbYuRaZesMODlihhsUG
My Generation - Original Mono Version,['The Who'],0r4lZHjmn7wHeipvGDiG3H
Respect,['Aretha Franklin'],7s25THrKz86DM225dOYwnr
Love Will Tear Us Apart - 2020 Remaster,['Joy Division'],34iOH7LY3vme5rQxsVILZ4
Born to Run,['Bruce Springsteen'],6hTcuIQa0sxrrByu9wTD7s
Sympathy For The Devil - 50th Anniversary Edition,['The Rolling Stones'],1Ud6moTC0KyXMq1Oxfien0
Strawberry Fields Forever - Remastered 2009,['The Beatles'],3Am0IbOxmvlSXro7N5iSfZ
Heartbreak Hotel,['Abigail Barlow'],1YrgbwVse66pH7ysXLlgO8
Billie Jean,['Michael Jackson'],5ChkMS8OtdzJeqyybCc9R5
London Calling - Remastered,['The Clash'],5jzma6gCzYtKB1DbEwFZKH
God Only Knows - Remastered,['The Beach Boys'],6iGU74CwXuT4XVepjc9Emf
Stairway to Heaven - Remaster,['Led Zeppelin'],5CQ30WqJwcep0pYcV4AMNc
(Sittin' On) the Dock of the Bay,['Otis Redding'],3zBhihYUHBmGd2bcQIobrF
Imagine - Remastered 2010,['John Lennon'],7pKfPomDEeI4TPT6EOYjn9
The Message (feat. Melle Mel & Duke Bootee),"['Grandmaster Flash & The Furious Five', 'Grandmaster Melle Mel', 'Duke Bootee']",5DuTNKFEjJIySAyJH1yNDU
God Save the Queen,['Sex Pistols'],6ui6l3ZNvlrGQZArwo8195
Heroes - 1998 Remaster,['David Bowie'],6Bh83dOo88nf6Ez5qHDsZe
You Really Got Me - 2015 Remaster,['Van Halen'],0upLyFR8Rr52ZpMp5esQoq
When Doves Cry,['Prince'],51H2y6YrNNXcy3dfc3qSbA
Tutti Frutti,['Little Richard'],2iXcvnD3d1gfLBum0cE5Eg
Paper Planes,['M.I.A.'],1wgqttlPacpvmX5DKVboOa
Purple Haze,['Jimi Hendrix'],0wJoRiX5K5BxlqZTolB2LD
Gimme Shelter,['The Rolling Stones'],6H3kDe7CGoWYBabAeVWGiD
Superstition - Single Version,['Stevie Wonder'],1h2xVEoJORqrg71HocgqXd
"What'd I Say, Pt. 1 & 2",['Ray Charles'],5yQ9iMZXGcr5rlO4hoLsP4
Seven Nation Army,['The White Stripes'],7i6r9KotUPQg3ozKKgEPIN
Common People,['Pulp'],2fXKyAyPrEa24c6PJyqznF
Blue Monday,['New Order'],6hHc7Pks7wtBIW8Z6A0iFq
Bohemian Rhapsody - 2011 Mix,['Queen'],7tFiyTwD0nx5a1eklYtX2J
A Change Is Gonna Come,['Sam Cooke'],0KOE1hat4SIer491XKk4Pa
Louie Louie,['The Kingsmen'],0iA3xXSkSCiJywKyo1UKjQ
Hey Jude - Remastered 2015,['The Beatles'],0aym2LBJBk9DAYuHHutrIl
Losing My Religion,['R.E.M.'],31AOj9sFz2gM0O3hMARRBx
Waterloo Sunset - Stereo Mix,['The Kinks'],0wNrbOXDIevja1t7JrCozX
Light My Fire,['The Doors'],5uvosCdMlFdTXhoazkTI5R
Crazy In Love (feat. Jay-Z),"['Beyoncé', 'JAY-Z']",5IVuqXILoxVWvWEPm82Jxr
I Want You Back,['The Jackson 5'],5LxvwujISqiB8vpRYv887S
Whole Lotta Love - Remaster,['Led Zeppelin'],3OuMIIFP5TxM8tLXMWYPGV
There Is a Light That Never Goes Out - 2011 Remaster,['The Smiths'],0WQiDwKJclirSYG9v5tayI
Crazy,['Gnarls Barkley'],2N5zMZX7YeL1tico8oQxa9
Walk On the Wild Side,['Lou Reed'],5p3JunprHCxClJjOmcLV8G
I Feel Love,['Sam Smith'],29MOOOmMRPeWyPwKQFoF5t
Mr. Tambourine Man,['Bob Dylan'],3RkQ3UwOyPqpIiIvGVewuU
Take Me Out,['Franz Ferdinand'],6ooluO7DiEhI1zmK94nRCM
Jumpin' Jack Flash - Mono,['The Rolling Stones'],55LRDFmsuazr533WrtHHW9
River Deep - Mountain High,['Ike & Tina Turner'],19jo0UT2vqD4pNVfIqTy4R
Paranoid Android,['Radiohead'],2nTsKOXIVGDf2iPeVQO2Gm
Loser,['Beck'],5PntSbMHC1ud6Vvl8x56qd
You've Lost That Lovin' Feelin' - Single Version,['The Righteous Brothers'],6AeyHqzNHJthYJbn0tvJ4b
That'll Be The Day,['Buddy Holly'],50RwvvEKX5Q7AZt8FTAwIF
Blitzkrieg Bop - 2001 Remaster,['Ramones'],2hrF1aiAFGa7bWgt2qhyrc
Bitter Sweet Symphony,['The Verve'],57iDDD9N9tTWe75x6qhStw
Hotel California - 2013 Remaster,['Eagles'],40riOy7x9W7GXjyGp4pjAv
Layla - 40th Anniversary Version / 2010 Remastered,['Derek & The Dominos'],2kkvB3RNRzwjFdGhaUA0tz
Once in a Lifetime - 2005 Remaster,['Talking Heads'],38Ngied9rBORlAbLYNCl4k
House Of The Rising Sun,['The Animals'],7BY005dacJkbO6EPiOh2wb
All Along the Watchtower,['Jimi Hendrix'],2aoo2jlRnM3A0NyLQqMN2f
Stand by Me,['Ben E. King'],3SdTKo2uVsxFblQjpScoHy
How Soon Is Now? - 2011 Remaster,['The Smiths'],1YrnDTqvcnUKxAIeXyaEmU
Get Ur Freak On,['Missy Elliott'],6zsk6uF3MxfIeHPlubKBvR
Hound Dog,['Elvis Presley'],64Ny7djQ6rNJspquof2KoX
Suspicious Minds,['Elvis Presley'],1H5IfYyIIAlgDX8zguUzns
Strange Fruit,['Billie Holiday'],1CTex49P0iWwzUGsMNjgaV
Sweet Child O' Mine,"[""Guns N' Roses""]",7snQQk1zcKl8gZ92AnueZW
California Dreamin' - Single Version,['The Mamas & The Papas'],4s6LhHAV5SEsOV0lC2tjvJ
I'm Waiting For The Man - Album Version (Stereo),"['The Velvet Underground', 'Nico']",7hrJgdNzMHlKxEorMLrPcD
"Paint It, Black",['The Rolling Stones'],63T7DJ1AFDD6Bn8VzG6JE8
Let's Stay Together,['Al Green'],63xdwScd1Ai1GigAwQxE8y
(We're Gonna) Rock Around The Clock,['Bill Haley & His Comets'],1uRKT2LRANv4baowBWHfDS
Fight The Power,['Public Enemy'],1yo16b3u0lptm6Cs7lx4AD
For What It's Worth,['Buffalo Springfield'],1qRA5BS78u3gME0loMl9AA
I Want To Hold Your Hand - Remastered 2015,['The Beatles'],4pbG9SUmWIvsROVLF0zF9s
Wonderwall,['Oasis'],1qPbGZqppFwLwcBC1JQ6Vr
Dancing In The Street - Stereo,['Martha Reeves & The Vandellas'],6rLqjzGV5VMLDWEnuUqi8q
Ghost Town - Extended Version,['The Specials'],3alakDtzs5xyASknjDt4mO
The Weight - Remastered,['The Band'],0P7DoyGrr4Wp9w5TotEtUC
99 Problems,['JAY-Z'],7sLpSWxQazJzDVG6YGzlVs
Summertime Blues,['Alan Jackson'],3hV8Gvijx6cVv339o3uCSK
Thunder Road,['Bruce Springsteen'],56lhDZNQ5J47aog6mGKeGk
All My Friends,['AJ Mitchell'],5Xq7KPZSONkhHx6DFTAbTz
One Of Them Girls,['Lee Brice'],14GwnOeC9qYEKEA6uOZepa
The Tracks Of My Tears - Single Version (Mono),['Smokey Robinson & The Miracles'],5YMxxRwt9sa8FB0r09ODz0
This Charming Man - 2011 Remaster,['The Smiths'],1FvDJ9KGxcqwv1utyPL3JZ
Whole Lotta Shakin' Goin' On,['Big Maybelle'],2QrBIUz6Mbmkh5dqcLzTHp
Heroin,['Badflower'],0leJYiYyZE6jjXCEVYUQAm
Reach Out I'll Be There - Single Version / Mono,['Four Tops'],0PpamSdfQzIAvj5OB9Bz54
Kashmir - 1990 Remaster,['Led Zeppelin'],2nVHqZbOGkKWzlcy1aMbE7
Eight Miles High,['The Byrds'],2BGNomqCxEDcXyxf8bg27k
"That's All Right, Mama","['Merl Saunders', 'Jerry Garcia']",4Koru7tV1R2UGeE6JiscjM
Dancing Queen,['ABBA'],2ATDkfqprlNNe9mYWodgdc
Yesterday - Remastered 2009,['The Beatles'],3BQHpFgAp4l80e1XslIjNI
Get Up (I Feel Like Being A) Sex Machine - Pt. 1 & 2,['James Brown'],7tMCIOFe99cWEYr21wfsDp
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,"['Daft Punk', 'Pharrell Williams', 'Nile Rodgers']",2Foc5Q5nqNiosCNqttzHof
Walk This Way (feat. Aerosmith),"['Run–D.M.C.', 'Aerosmith']",6qUEOWqOzu1rLPUPQ1ECpx
Proud Mary,['Creedence Clearwater Revival'],2EZc13S7YRi6bTS3SKteRN
Good Times Bad Times - 1993 Remaster,['Led Zeppelin'],0QwZfbw26QeUoIy82Z2jYp
Nothing Compares 2 U,"[""Sinéad O'Connor""]",3nvuPQTw2zuFAVuLsC9IYQ
Every Breath You Take - Remastered 2003,['The Police'],0wF2zKJmgzjPTfircPJ2jg
A Whiter Shade of Pale - Original Single Version,['Procol Harum'],78ZqE2tjAxbqEGGlvGnQfT
Fortunate Son,['Creedence Clearwater Revival'],4BP3uh0hFLFRb5cjsgLqDh
Losing My Edge,['LCD Soundsystem'],1XlDNpWy8dyEljyRd0RC2J
Paranoid,['Post Malone'],3fpVWegR6YOS1Yk5HSMYIq
She Loves You - Remastered 2009,['The Beatles'],48JM82SHQTBYkhEYhMaOaa
Bridge Over Troubled Water,['Simon & Garfunkel'],6l8EbYRtQMgKOyc1gcDHF9
Blue Suede Shoes,['Elvis Presley'],47gmoUrZV3w20JAnQOZMcO
Rapper's Delight - Long Version,['The Sugarhill Gang'],0RxphrRef802DdWKfTZiVG
Papa's Got A Brand New Bag - Pt. 1,['James Brown'],58cAopfBOtm1Sgifx99jtR
Tangled up in Blue,['Bob Dylan'],6Vcwr9tb3ZLO63F8DL8cqu
The Sound of Silence - Electric Version,['Simon & Garfunkel'],2YplrdHMBoRdnHgMeHEwHm
Great Balls Of Fire,['Jerry Lee Lewis'],5UvE5QlINnvEc7aFO14DVL
Rehab (Winter In Paris),['Brent Faiyaz'],0zWbYGQq5O1KQd0iqzgjP6
Maybellene - Single Version,['Chuck Berry'],1cIWQWDwmN3sgifEDccHSS
Green Onions - 45 Version,"[""Booker T. & the M.G.'s""]",6KKcey1w86oP0qxN8frbfD
Born Slippy (Nuxx),['Underworld'],7xQYVjs4wZNdCwO0EeAWMC
Maggie May,['Rod Stewart'],6rovOdp3HgK1DeAMYDzoA7
Creep,['Radiohead'],6b2oQwSGFkzsMtQruIWm2p
Live Forever,['Lil Peep'],0glTZHa9SxsDpeCQGc9AVs
