,Song,Artist
0,"Monday, monday",The Mamas & The Papas
1,Un sorbito de champagne,Los Brincos
2,Girl,The Beatles
3,Paint it black,The Rolling Stones
4,Strangers in the night,Frank Sinatra
5,To make a big man cry,Tom Jones
6,Black is black,Los Bravos
7,Lady Pepa,Los Pekenikes
8,La resa dei conti (La caccia),"Morricone, Ennio"
9,Como ayer,Bruno Lomas
10,River deep - Mountain high,Ike & Tina Turner
11,With a girl like you,The Troggs
12,Sitting and thinking,The Spencer Davis Group
13,"Hi-lili, hi-lo",Alan Price
14,La moto,Los Bravos
15,Reach out I'll be there,The Four Tops
16,Land of 1000 dances,Wilson Pickett
17,Winchester Cathedral,The New Vaudeville Band
18,Winchester Cathedral,The New Vaudeville Band
19,Good vibrations,The Beach Boys
20,Hablemos del amor,Raphael
21,Marionetas en la cuerda (Puppet on a string),Sandie Shaw
22,Nada,Juan y Junior
23,Inch'allah,Adamo
24,Lola,Los Brincos
25,A whiter shade of pale,Procol Harum
26,All you need is love,The Beatles
27,San Francisco (Be sure to wear flowers in your hair),Scott McKenzie
28,Los chicos con las chicas,Los Bravos
29,"Aranjuez, mon amour",Richard Anthony
30,Cállate niña,Pic-Nic
31,"Aranjuez, mon amour",Richard Anthony
32,Soul finger,The Bar-Kays
33,Pata Pata,Miriam Makeba
34,I'm coming home,Tom Jones
35,"La, la, la",Massiel
36,Congratulations (Spanish version),Cliff Richard
37,Delilah,Tom Jones
38,Get on your knees,Canarios
39,"Oh Lord, why Lord",Pop Tops
40,Those were the days,Mary Hopkin
41,Hey Jude,The Beatles
42,Those were the days,Mary Hopkin
43,Hey Jude,The Beatles
44,Eloise,Barry Ryan
45,Las flechas del amor,Karina
46,Vivo cantando,Salomé
47,Casatschok,Georgie Dann
48,Cuéntame,Fórmula V
49,Maman,Jean-Jacques
50,Get back,The Beatles
51,María Isabel,Los Payos
52,I'm going home,Ten Years After
53,The ballad of John and Yoko,The Beatles
54,In the ghetto,Elvis Presley
55,La charanga,Juan Pardo
56,In the year 2525,Zager & Evans
57,"Sugar, sugar",The Archies
58,El abuelo Vítor,Víctor Manuel
59,Venus,Shocking Blue
60,Gwendolyne,Julio Iglesias
61,Un rayo de sol,Los Diablos
62,Corpiño xeitoso,Andrés do Barro
63,El condor pasa (If I could),Simon and Garfunkel
64,Yellow river,Christie
65,Naveriña do mar,María Ostiz
66,Quiero abrazarte tanto,Víctor Manuel
67,"Te quiero, te quiero",Nino Bravo
68,"Te quiero, te quiero",Nino Bravo
69,Candida,Dawn
70,My sweet lord,George Harrison
71,Qué será (Che sara'),Jose Feliciano
72,Theme from Love story,Francis Lai
73,Baby jump,Mungo Jerry
74,En mis sueños,Blume
75,Borriquito,Peret
76,Sing sing Barbara,Laurent & The Mardi Grass
77,Brown sugar,The Rolling Stones
78,Yo confieso,Mari Trini
79,Historia de amor (Love story),Astrud Gilberto
80,Carmen,Trébol
81,"Help, ayúdame",Tony Ronald
82,Mammy blue,Joel Dayde
83,Get it on,T. Rex
84,Maggie May,Rod Stewart
85,Pandeirada,Andrés do Barro
86,Manda Christmas,Los Diablos
87,Manda Christmas,Los Diablos
88,El chico de la armónica,Micky
89,The witch queen of New Orleans,Redbone
90,The mouth organ boy,Micky
91,"Hello, Buddy",The Tremeloes
92,El refugio,Miguel Ríos
93,Soley soley,Middle of the Road
94,Yo no soy esa,Mari Trini
95,Un beso y una flor,Nino Bravo
96,I love you baby,Tony Ronald
97,Ve con él,Basilio
98,"Oh, oh, July",Los Diablos
99,Adiós tristezas,Micky
100,Mátame,Arena Caliente
101,Por el amor de una mujer,Julio Iglesias
102,Tiempo feliz (Splendit times),Marisol
103,Take me bak 'ome,Slade
104,Cantares,Miguel Ríos
105,"Amor, háblame dulcemente (Tema de amor de ""El Padrino"")",Andy Williams
106,Woman to woman,Joe Cocker
107,Por si tú quieres saber,Jairo
108,Amor amar,Camilo Sesto
109,Pardon me sir,Joe Cocker
110,Charly,Santabárbara
111,Forever and ever,Demis Roussos
112,Get down,Gilbert O'Sullivan
113,Eva María,Fórmula V
114,Todo por nada,Camilo Sesto
115,"América, América",Nino Bravo
116,La estrella de David,Juan Bau
117,La estrella de David,Juan Bau
118,48 Crash,Suzi Quatro
119,"Una, dos y tres",Patxi Andión
120,Photograph,Ringo Starr
121,La distancia,Roberto Carlos
122,Ballroom blitz,Sweet
123,Devil gate drive,Suzi Quatro
124,"Someday, somewhere",Demis Roussos
125,Ayudadme,Camilo Sesto
126,Tómame o déjame,Mocedades
127,Tomame o dejame,Mocedades
128,Conversaciones conmigo mismo,Juan Pardo
129,Todo el tiempo del mundo,Manolo Otero
130,Actitudes,Roberto Carlos
131,Actitudes,Roberto Carlos
132,Hi-Jack,Barrabás
133,Neniña,Pepe Domingo Castaño
134,Quédate,Miguel Gallardo
135,I can help,Billy Swan
136,"You're the first, the last, my everything",Barry White
137,El Bimbo,Georgie Dann
138,Ven otra vez,Toni Artis
139,Caballo negro,Manolo Sanlúcar
140,Y te vas,José Luis Perales
141,Melina,Camilo Sesto
142,Una paloma blanca,George Baker Selection
143,"Saca el güisky, Cheli",Desmadre 75
144,Feelings (Spanish version),Morris Albert
145,El solitario,Nubes Grises
146,The hustle,Van McCoy & The Soul City Symphony
147,One of these nights,The Eagles
148,Secretaria,Mocedades
149,"Amor, amor",Lolita
150,"Vete, vete",Daniel Velázquez
151,Que no soy yo,Joan Baptista Humet
152,Hoy tengo ganas de tí,Miguel Gallardo
153,Natacha y yo,Juan Bau
154,Jamás,Camilo Sesto
155,Quisiera decir tu nombre,José Luis Perales
